1247826036949045200,PucukSemeru,"RT @PRFMnews: Mangga kang bisa buat akun dan log in di website https://t.co/xydVeGd2Wy, lalu tunggu hasil verifikasi dari pihak Project Man…"
1247826374678597600,MARIA36819304,KITA  DOAKAN 🤲😭PAGI🤲😭  SIANG 🤲😭SORE🤲😭 MALAM🤲😭 DAN TENGAH MALAM 🤲😭SEMOGA 🤲😭RAKYAT INDONESIA🇮🇩 SEGERA KELUAR DENGAN S… https://t.co/i00L5F3iVD
1247826561350258700,AZulfarrahman,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247826872034979800,indrawan1985,"@RizmaWidiono Cebong pendukungnya jae memang merepotkan,,knapa gak minta tolong sama kartu prakerja produknya jae. https://t.co/7E4KqETR27"
1247827213971415000,Aliasliem2,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247827484680183800,yudiseti,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247827973228511200,MangKoko10,Kartu Prakerja untuk Menggaji Pengangguran? https://t.co/eXZSKm1q3B
1247828090949996500,Je_Ly,"Berita baik aplg bp @ganjarpranowo?  Ini dia😉 U/ yg terdampak Coeoba, diPHK ato dirumahkan,ayo daftar kartu Prakerj… https://t.co/FyL2yJdbtX"
1247828104216580000,subtanyarl,"Tanyarl gengs kalo lulusan s1 freshgraduate dengan lulusan 3,5tahun cumlaude (ga maksud sombong plis jan salty) dft… https://t.co/Ue17J7Pfcm"
1247828427329003500,VIVAcoid,"VIVA Top3 : PPSB di Jabar, Kartu Prakerja Korban PHK &amp; Supermoon 2020 https://t.co/Ko758gbuTG #vlix"
1247828486078648300,Blacksh55288774,"RT @Je_Ly: Berita baik aplg bp @ganjarpranowo?  Ini dia😉 U/ yg terdampak Coeoba, diPHK ato dirumahkan,ayo daftar kartu Prakerja.  Ke mana D…"
1247828663204106200,escoklad,"RT @bkdjatengprov: Ada kabar baik nih untuk Konco Naker, membuka pendataan Calon Penerima Kartu Prakerja, untuk kalian yang ter PHK ataupun…"
1247829027122860000,cheesycakechees,RT @IndonesiaBaikId: Hai SohIB!  Pemerintah telah menyiapkan program Kartu Prakerja bagi yang belum bekerja ataupun pekerja formal/informal…
1247829325702811600,Beritasatu,"24.000 Buruh di PHK, Ganjar: Silakan Daftar Kartu Prakerja https://t.co/f2MVWdoDXA https://t.co/FPyVMr1ejr"
1247829595832770600,WILLEND31,jingan pada pintar yah mana mau bayar pemerintah buat pengangguran hadeuh
1247829713201983500,ameliaprimarini,"RT @PRFMnews: Mangga kang bisa buat akun dan log in di website https://t.co/xydVeGd2Wy, lalu tunggu hasil verifikasi dari pihak Project Man…"
1247830042077548500,perumahandki,"#Repost @Disnaketransdki  ・・・ Sehubungan dengan dampak pandemik COVID-19 yang mempengaruhi ekonomi, Pemerintah meng… https://t.co/Nmhcb4D1AT"
1247830229910872000,Ang_Din,RT @CSISIndonesia: Bagaimana implementasi program kartu prakerja di masa wabah #COVID19?  @drafitrandi (Peneliti Departemen Ekonomi @CSISIn…
1247831046348894200,IfulAlfanisi,"@disnaker_jateng 1. Saya habis kena PHK per tanggal 01april2020, saya berniat mengisi formulir pendaftaran kartu pr… https://t.co/BNXBd8fbC5"
1247831474327269400,translatorbali,@jokowi @changbkim @MOFAkr_eng @ganjarpranowo Apa itu Kartu Prakerja? Kartu Prakerja merupakan bantuan biaya pelati… https://t.co/RZtLnezg2m
1247831490970321000,djanuanti,"RT @yusuf_dumdum: Meskipun begini, masih saja ada yang nyinyir. Mirisnya nyinyir sambil menikmati subsidi dari program pemerintah. 😅  #Ceka…"
1247831507504255000,translatorbali,RT @translatorbali: @jokowi @changbkim @MOFAkr_eng @ganjarpranowo Apa itu Kartu Prakerja? Kartu Prakerja merupakan bantuan biaya pelatihan…
1247831565213642800,liputan6dotcom,"Tak Kebagian BLT, Masyarakat Bisa Manfaatkan Kartu Prakerja https://t.co/Vk9JDbAeHb"
1247831848945717200,Globalnews222,RT @translatorbali: @jokowi @changbkim @MOFAkr_eng @ganjarpranowo Apa itu Kartu Prakerja? Kartu Prakerja merupakan bantuan biaya pelatihan…
1247831931485433900,ZyeZykia,"Bagi teman-teman yang terdampak PHK, silahkan mendaftar program Kartu Pra Kerja. Silahkan Daftar di kantor Tenaga K… https://t.co/C61JUodfhx"
1247831942889754600,candrarudy,"Kartu Pelatihan Prakerja total jadi 20T, habis pelatihan trus pada kerja dimana kalau banyak PERUSAHAAN TUTUP! 🤪"
1247832193436508200,antarabiz,Gubernur: Riau dapatkan 92 ribu Kartu Prakerja https://t.co/W7AmGN3VgN
1247832232665833500,Djoni_Macs,"RT @yusuf_dumdum: Meskipun begini, masih saja ada yang nyinyir. Mirisnya nyinyir sambil menikmati subsidi dari program pemerintah. 😅  #Ceka…"
1247832477059567600,SukitmanS,RT @KemnakerRI: Sejumlah program dan kebijakan juga disiapkan untuk menanggulangi pandemi Covid-19. Diantaranya percepatan pelaksanaan Kart…
1247832584664412200,yoke_stefanus,"RT @liputan6dotcom: Kena PHK Akibat Corona, Pekerja Bisa Daftar di Sini untuk Ikut Program Kartu Prakerja https://t.co/XS7FJzRTdQ #CoronaCo…"
1247833082268270600,syauta_shily,"RT @Beritasatu: 24.000 Buruh di PHK, Ganjar: Silakan Daftar Kartu Prakerja https://t.co/f2MVWdoDXA https://t.co/FPyVMr1ejr"
1247833093060227000,YRadianto,"RT @Je_Ly: Berita baik aplg bp @ganjarpranowo?  Ini dia😉 U/ yg terdampak Coeoba, diPHK ato dirumahkan,ayo daftar kartu Prakerja.  Ke mana D…"
1247833180796641300,Diens06076327,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247833184462495700,Gus_Raharjo,"RT @ZyeZykia: Bagi teman-teman yang terdampak PHK, silahkan mendaftar program Kartu Pra Kerja. Silahkan Daftar di kantor Tenaga Kerja yang…"
1247833458803486700,MettiMariana,"RT @liputan6dotcom: Tak Kebagian BLT, Masyarakat Bisa Manfaatkan Kartu Prakerja https://t.co/Vk9JDbAeHb"
1247834193058361300,DoddyAchMaD_,"RT @liputan6dotcom: Tak Kebagian BLT, Masyarakat Bisa Manfaatkan Kartu Prakerja https://t.co/Vk9JDbAeHb"
1247834743074250800,ResiAulia9,https://t.co/wOgh2mVriQ #CekalCoronaSaveEkonomi
1247834898586423300,BerlandGroup,"RT @Je_Ly: Berita baik aplg bp @ganjarpranowo?  Ini dia😉 U/ yg terdampak Coeoba, diPHK ato dirumahkan,ayo daftar kartu Prakerja.  Ke mana D…"
